Country,Year,Child
Barbados,2004,2130.0
Barbados,2005,2057.0
Barbados,2006,1430.0
Barbados,2007,1426.0
Barbados,2008,1034.0
Barbados,2009,nan
Barbados,2010,nan
Belarus,2000,nan
Belarus,2001,28356.0
Belarus,2002,35785.0
Belarus,2003,34280.0
Belarus,2004,35180.0
Belarus,2005,38885.0
Belarus,2006,37380.0
Belarus,2007,36498.0
Belarus,2008,31577.0
Belarus,2009,26346.0
Belarus,2010,28505.0
Belgium,2000,5726.0
Belgium,2001,6021.0
Belgium,2002,6027.0
Belgium,2003,6945.0
Belgium,2004,6680.0
Belgium,2005,6566.0
Belgium,2006,7303.0
Belgium,2007,6832.0
Belgium,2008,6980.0
Belgium,2009,6720.0
Belgium,2010,6533.0
Belize,2000,4156.0
Belize,2001,4777.0
Belize,2002,4503.0
Belize,2003,4016.0
Belize,2004,2733.0
Belize,2005,2711.0
Belize,2006,2317.0
Belize,2007,2046.0
Belize,2008,2174.0
Belize,2009,1710.0
Belize,2010,1191.0
Benin,2000,nan
Benin,2001,nan
Benin,2002,nan
Benin,2003,170091.0
Benin,2004,156087.0
Benin,2005,150376.0
Benin,2006,128840.0
Benin,2007,nan
Benin,2008,110063.0
Benin,2009,nan
Benin,2010,nan
Bermuda,2000,nan
Bermuda,2001,nan
Bermuda,2002,nan
Bermuda,2003,nan
Bermuda,2004,nan
Bermuda,2005,116.0
Bermuda,2006,nan
Bermuda,2007,nan
Bermuda,2008,nan
Bermuda,2009,nan
Bermuda,2010,441.0
Bhutan,2000,45615.0
Bhutan,2001,42148.0
Bhutan,2002,nan
Bhutan,2003,nan
Bhutan,2004,nan
Bhutan,2005,27227.0
Bhutan,2006,21661.0
Bhutan,2007,nan
Bhutan,2008,15067.0
Bhutan,2009,11042.0
Bhutan,2010,10027.0
Bolivia,2000,49332.0
Bolivia,2001,64859.0
Bolivia,2002,57390.0
Bolivia,2003,57124.0
Bolivia,2004,55923.0
Bolivia,2005,nan
Bolivia,2006,47098.0
Bolivia,2007,62696.0
Bolivia,2008,nan
Bolivia,2009,80967.0
Bolivia,2010,123455.0
Bosnia and Herzegovina,2000,nan
Bosnia and Herzegovina,2001,nan
Bosnia and Herzegovina,2002,nan
Bosnia and Herzegovina,2003,nan
Bosnia and Herzegovina,2004,nan
Bosnia and Herzegovina,2005,nan
Bosnia and Herzegovina,2006,nan
Bosnia and Herzegovina,2007,nan
Bosnia and Herzegovina,2008,nan
Bosnia and Herzegovina,2009,26579.0
Bosnia and Herzegovina,2010,25132.0
Botswana,2000,59142.0
Botswana,2001,53350.0
Botswana,2002,51479.0
Botswana,2003,50031.0
Botswana,2004,46055.0
Botswana,2005,47012.0
Botswana,2006,42416.0
Botswana,2007,43188.0
Botswana,2008,42294.0
Botswana,2009,38192.0
Botswana,2010,nan
Brazil,2000,1011000.0
Brazil,2001,729505.0
Brazil,2002,942013.0
Brazil,2003,1129655.0
Brazil,2004,741994.0
Brazil,2005,594612.0
Brazil,2006,nan
Brazil,2007,nan
Brazil,2008,nan
Brazil,2009,nan
Brazil,2010,nan
British Virgin Islands,2000,nan
British Virgin Islands,2001,nan
British Virgin Islands,2002,nan
British Virgin Islands,2003,nan
British Virgin Islands,2004,nan
British Virgin Islands,2005,nan
British Virgin Islands,2006,nan
British Virgin Islands,2007,nan
British Virgin Islands,2008,nan
British Virgin Islands,2009,nan
British Virgin Islands,2010,nan
Brunei,2000,nan
Brunei,2001,nan
Brunei,2002,nan
Brunei,2003,nan
Brunei,2004,nan
Brunei,2005,nan
Brunei,2006,nan
Brunei,2007,nan
Brunei,2008,nan
Brunei,2009,nan
Brunei,2010,1709.0
Bulgaria,2000,7037.0
Bulgaria,2001,6041.0
Bulgaria,2002,9778.0
Bulgaria,2003,9687.0
Bulgaria,2004,9763.0
Bulgaria,2005,16540.0
Bulgaria,2006,17697.0
Bulgaria,2007,8120.0
Bulgaria,2008,3350.0
Bulgaria,2009,1820.0
Bulgaria,2010,1252.0
Burkina Faso,2000,1319720.0
Burkina Faso,2001,1329375.0
Burkina Faso,2002,1363846.0
Burkina Faso,2003,1370625.0
Burkina Faso,2004,1346300.0
Burkina Faso,2005,1291304.0
Burkina Faso,2006,1237746.0
Burkina Faso,2007,1143781.0
Burkina Faso,2008,1028464.0
Burkina Faso,2009,983031.0
Burkina Faso,2010,1128293.0
Burundi,2000,618713.0
Burundi,2001,521933.0
Burundi,2002,533663.0
Burundi,2003,493509.0
Burundi,2004,474905.0
Burundi,2005,434146.0
Burundi,2006,217787.0
Burundi,2007,120489.0
Burundi,2008,nan
Burundi,2009,nan
Burundi,2010,nan
Cambodia,2000,178641.0
Cambodia,2001,nan
Cambodia,2002,nan
Cambodia,2003,74274.0
Cambodia,2004,nan
Cambodia,2005,nan
Cambodia,2006,91071.0
Cambodia,2007,61071.0
Cambodia,2008,75260.0
Cambodia,2009,nan
Cambodia,2010,72886.0
Cameroon,2000,nan
Cameroon,2001,nan
Cameroon,2002,nan
Cameroon,2003,nan
Cameroon,2004,nan
Cameroon,2005,nan
Cameroon,2006,nan
Cameroon,2007,nan
Cameroon,2008,218306.0
Cameroon,2009,176756.0
Cameroon,2010,189310.0
Canada,2000,4600.0
Canada,2001,nan
Canada,2002,nan
Canada,2003,nan
Canada,2004,nan
Canada,2005,nan
Canada,2006,nan
Canada,2007,nan
Canada,2008,nan
Canada,2009,nan
Canada,2010,nan
Cape Verde,2000,467.0
Cape Verde,2001,870.0
Cape Verde,2002,891.0
Cape Verde,2003,1053.0
Cape Verde,2004,1155.0
Cape Verde,2005,1913.0
Cape Verde,2006,2822.0
Cape Verde,2007,3696.0
Cape Verde,2008,4503.0
Cape Verde,2009,4543.0
Cape Verde,2010,4235.0
Cayman Islands,2000,nan
Cayman Islands,2001,nan
Cayman Islands,2002,nan
Cayman Islands,2003,nan
Cayman Islands,2004,nan
Cayman Islands,2005,nan
Cayman Islands,2006,nan
Cayman Islands,2007,nan
Cayman Islands,2008,nan
Cayman Islands,2009,nan
Cayman Islands,2010,nan
Central African Republic,2000,nan
Central African Republic,2001,nan
Central African Republic,2002,nan
Central African Republic,2003,nan
Central African Republic,2004,nan
Central African Republic,2005,317951.0
Central African Republic,2006,321219.0
Central African Republic,2007,272244.0
Central African Republic,2008,214164.0
Central African Republic,2009,213116.0
Central African Republic,2010,198386.0
Chad,2000,612984.0
Chad,2001,607476.0
Chad,2002,570138.0
Chad,2003,561533.0
Chad,2004,nan
Chad,2005,nan
Chad,2006,nan
Chad,2007,nan
Chad,2008,nan
Chad,2009,nan
Chad,2010,nan
Channel Islands,2000,nan
Channel Islands,2001,nan
Channel Islands,2002,nan
Channel Islands,2003,nan
Channel Islands,2004,nan
Channel Islands,2005,nan
Channel Islands,2006,nan
Channel Islands,2007,nan
Channel Islands,2008,nan
Channel Islands,2009,nan
Channel Islands,2010,nan
Chile,2000,nan
Chile,2001,nan
Chile,2002,nan
Chile,2003,nan
Chile,2004,nan
Chile,2005,nan
Chile,2006,nan
Chile,2007,75506.0
Chile,2008,66767.0
Chile,2009,94211.0
Chile,2010,84726.0
China,2000,nan
China,2001,nan
China,2002,nan
China,2003,nan
China,2004,nan
China,2005,nan
China,2006,nan
China,2007,nan
China,2008,nan
China,2009,nan
China,2010,nan
Christmas Island,2000,nan
Christmas Island,2001,nan
Christmas Island,2002,nan
Christmas Island,2003,nan
Christmas Island,2004,nan
Christmas Island,2005,nan
Christmas Island,2006,nan
Christmas Island,2007,nan
Christmas Island,2008,nan
Christmas Island,2009,nan
Christmas Island,2010,nan
Cocos Island,2000,nan
Cocos Island,2001,nan
Cocos Island,2002,nan
Cocos Island,2003,nan
Cocos Island,2004,nan
Cocos Island,2005,nan
Cocos Island,2006,nan
Cocos Island,2007,nan
Cocos Island,2008,nan
Cocos Island,2009,nan
Cocos Island,2010,nan
Colombia,2000,139311.0
Colombia,2001,218394.0
Colombia,2002,172103.0
Colombia,2003,nan
Colombia,2004,nan
Colombia,2005,161644.0
Colombia,2006,205542.0
Colombia,2007,255372.0
Colombia,2008,277780.0
Colombia,2009,301497.0
Colombia,2010,374168.0
Comoros,2000,22092.0
Comoros,2001,nan
Comoros,2002,nan
Comoros,2003,nan
Comoros,2004,nan
Comoros,2005,nan
Comoros,2006,nan
Comoros,2007,22761.0
Comoros,2008,nan
Comoros,2009,nan
Comoros,2010,nan
"Congo, Dem. Rep.",2000,nan
"Congo, Dem. Rep.",2001,nan
"Congo, Dem. Rep.",2002,nan
"Congo, Dem. Rep.",2003,nan
"Congo, Dem. Rep.",2004,nan
"Congo, Dem. Rep.",2005,nan
"Congo, Dem. Rep.",2006,nan
"Congo, Dem. Rep.",2007,nan
"Congo, Dem. Rep.",2008,nan
"Congo, Dem. Rep.",2009,nan
"Congo, Dem. Rep.",2010,nan
"Congo, Rep.",2000,nan
"Congo, Rep.",2001,nan
"Congo, Rep.",2002,nan
"Congo, Rep.",2003,nan
"Congo, Rep.",2004,nan
"Congo, Rep.",2005,253418.0
"Congo, Rep.",2006,239250.0
"Congo, Rep.",2007,nan
"Congo, Rep.",2008,nan
"Congo, Rep.",2009,nan
"Congo, Rep.",2010,56232.0
Cook Is,2000,nan
Cook Is,2001,nan
Cook Is,2002,nan
Cook Is,2003,nan
Cook Is,2004,nan
Cook Is,2005,nan
Cook Is,2006,nan
Cook Is,2007,nan
Cook Is,2008,nan
Cook Is,2009,nan
Cook Is,2010,nan
Costa Rica,2000,nan
Costa Rica,2001,nan
Costa Rica,2002,nan
Costa Rica,2003,nan
Costa Rica,2004,nan
Costa Rica,2005,nan
Costa Rica,2006,nan
Costa Rica,2007,nan
Costa Rica,2008,nan
Costa Rica,2009,nan
Costa Rica,2010,nan
Cote d'Ivoire,2000,1129244.0
Cote d'Ivoire,2001,1019449.0
Cote d'Ivoire,2002,1024134.0
Cote d'Ivoire,2003,1125145.0
Cote d'Ivoire,2004,nan
Cote d'Ivoire,2005,nan
Cote d'Ivoire,2006,nan
Cote d'Ivoire,2007,nan
Cote d'Ivoire,2008,nan
Cote d'Ivoire,2009,1160732.0
Cote d'Ivoire,2010,nan
Croatia,2000,16247.0
Croatia,2001,15042.0
Croatia,2002,13933.0
Croatia,2003,13515.0
Croatia,2004,nan
Croatia,2005,1984.0
Croatia,2006,1994.0
Croatia,2007,2123.0
Croatia,2008,2835.0
Croatia,2009,12687.0
Croatia,2010,7446.0
Cuba,2000,19478.0
Cuba,2001,25130.0
Cuba,2002,30812.0
Cuba,2003,49132.0
Cuba,2004,47874.0
Cuba,2005,43329.0
Cuba,2006,34187.0
Cuba,2007,10155.0
Cuba,2008,4056.0
Cuba,2009,1702.0
Cuba,2010,1370.0
Cyprus,2000,1276.0
Cyprus,2001,1620.0
Cyprus,2002,973.0
Cyprus,2003,879.0
Cyprus,2004,783.0
Cyprus,2005,205.0
Cyprus,2006,280.0
Cyprus,2007,371.0
Cyprus,2008,571.0
Cyprus,2009,453.0
Cyprus,2010,497.0
Czech Republic,2000,nan
Czech Republic,2001,nan
Czech Republic,2002,nan
Czech Republic,2003,nan
Czech Republic,2004,nan
Czech Republic,2005,nan
Czech Republic,2006,nan
Czech Republic,2007,nan
Czech Republic,2008,nan
Czech Republic,2009,nan
Czech Republic,2010,nan
Czechoslovakia,2000,nan
Czechoslovakia,2001,nan
Czechoslovakia,2002,nan
Czechoslovakia,2003,nan
Czechoslovakia,2004,nan
Czechoslovakia,2005,nan
Czechoslovakia,2006,nan
Czechoslovakia,2007,nan
Czechoslovakia,2008,nan
Czechoslovakia,2009,nan
Czechoslovakia,2010,nan
Denmark,2000,7343.0
Denmark,2001,82.0
Denmark,2002,277.0
Denmark,2003,nan
Denmark,2004,7688.0
Denmark,2005,16555.0
Denmark,2006,15136.0
Denmark,2007,13379.0
Denmark,2008,16008.0
Denmark,2009,16522.0
Denmark,2010,16999.0
Djibouti,2000,86834.0
Djibouti,2001,86396.0
Djibouti,2002,86649.0
Djibouti,2003,85163.0
Djibouti,2004,83202.0
Djibouti,2005,80645.0
Djibouti,2006,75865.0
Djibouti,2007,71065.0
Djibouti,2008,55498.0
Djibouti,2009,56443.0
Djibouti,2010,nan
Dominica,2000,155.0
Dominica,2001,275.0
Dominica,2002,194.0
Dominica,2003,204.0
Dominica,2004,130.0
Dominica,2005,375.0
Dominica,2006,481.0
Dominica,2007,456.0
Dominica,2008,256.0
Dominica,2009,124.0
Dominica,2010,275.0
Dominican Republic,2000,181222.0
Dominican Republic,2001,nan
Dominican Republic,2002,113112.0
Dominican Republic,2003,129531.0
Dominican Republic,2004,210552.0
Dominican Republic,2005,189062.0
Dominican Republic,2006,205601.0
Dominican Republic,2007,128831.0
Dominican Republic,2008,170507.0
Dominican Republic,2009,56136.0
Dominican Republic,2010,84674.0
East Germany,2000,nan
East Germany,2001,nan
East Germany,2002,nan
East Germany,2003,nan
East Germany,2004,nan
East Germany,2005,nan
East Germany,2006,nan
East Germany,2007,nan
East Germany,2008,nan
East Germany,2009,nan
East Germany,2010,nan
Ecuador,2000,8291.0
Ecuador,2001,10931.0
Ecuador,2002,10293.0
Ecuador,2003,11487.0
Ecuador,2004,10407.0
Ecuador,2005,11079.0
Ecuador,2006,10056.0
Ecuador,2007,11820.0
Ecuador,2008,16325.0
Ecuador,2009,24354.0
Ecuador,2010,nan
Egypt,2000,605868.0
Egypt,2001,506241.0
Egypt,2002,399252.0
Egypt,2003,302987.0
Egypt,2004,206526.0
Egypt,2005,267087.0
Egypt,2006,496964.0
Egypt,2007,225768.0
Egypt,2008,nan
Egypt,2009,193102.0
Egypt,2010,644717.0
El Salvador,2000,nan
El Salvador,2001,128078.0
El Salvador,2002,108308.0
El Salvador,2003,91321.0
El Salvador,2004,62117.0
El Salvador,2005,45409.0
El Salvador,2006,45602.0
El Salvador,2007,47569.0
El Salvador,2008,47563.0
El Salvador,2009,46489.0
El Salvador,2010,38366.0
Equatorial Guinea,2000,18796.0
Equatorial Guinea,2001,16725.0
Equatorial Guinea,2002,18578.0
Equatorial Guinea,2003,20025.0
Equatorial Guinea,2004,nan
Equatorial Guinea,2005,nan
Equatorial Guinea,2006,nan
Equatorial Guinea,2007,nan
Equatorial Guinea,2008,41802.0
Equatorial Guinea,2009,42609.0
Equatorial Guinea,2010,42930.0
Eritrea,2000,320841.0
Eritrea,2001,320582.0
Eritrea,2002,303128.0
Eritrea,2003,288309.0
Eritrea,2004,283673.0
Eritrea,2005,283944.0
Eritrea,2006,295073.0
Eritrea,2007,329585.0
Eritrea,2008,358173.0
Eritrea,2009,389035.0
Eritrea,2010,417646.0
Eritrea and Ethiopia,2000,nan
Eritrea and Ethiopia,2001,nan
Eritrea and Ethiopia,2002,nan
Eritrea and Ethiopia,2003,nan
Eritrea and Ethiopia,2004,nan
Eritrea and Ethiopia,2005,nan
Eritrea and Ethiopia,2006,nan
Eritrea and Ethiopia,2007,nan
Eritrea and Ethiopia,2008,nan
Eritrea and Ethiopia,2009,nan
Eritrea and Ethiopia,2010,nan
Estonia,2000,865.0
Estonia,2001,123.0
Estonia,2002,205.0
Estonia,2003,2190.0
Estonia,2004,2443.0
Estonia,2005,2200.0
Estonia,2006,2366.0
Estonia,2007,3072.0
Estonia,2008,2656.0
Estonia,2009,2769.0
Estonia,2010,1972.0
Ethiopia,2000,6342774.0
Ethiopia,2001,6108148.0
Ethiopia,2002,6083679.0
Ethiopia,2003,6167228.0
Ethiopia,2004,5940477.0
Ethiopia,2005,4613002.0
Ethiopia,2006,3947291.0
Ethiopia,2007,3159859.0
Ethiopia,2008,2261003.0
Ethiopia,2009,2208604.0
Ethiopia,2010,2389945.0
Faeroe Islands,2000,nan
Faeroe Islands,2001,nan
Faeroe Islands,2002,nan
Faeroe Islands,2003,nan
Faeroe Islands,2004,nan
Faeroe Islands,2005,nan
Faeroe Islands,2006,nan
Faeroe Islands,2007,nan
Faeroe Islands,2008,nan
Faeroe Islands,2009,nan
Faeroe Islands,2010,nan
Falkland Is (Malvinas),2000,nan
Falkland Is (Malvinas),2001,nan
Falkland Is (Malvinas),2002,nan
Falkland Is (Malvinas),2003,nan
Falkland Is (Malvinas),2004,nan
Falkland Is (Malvinas),2005,nan
Falkland Is (Malvinas),2006,nan
Falkland Is (Malvinas),2007,nan
Falkland Is (Malvinas),2008,nan
Falkland Is (Malvinas),2009,nan
Falkland Is (Malvinas),2010,nan
Fiji,2000,5990.0
Fiji,2001,2662.0
Fiji,2002,847.0
Fiji,2003,1340.0
Fiji,2004,852.0
Fiji,2005,nan
Fiji,2006,1123.0
Fiji,2007,821.0
Fiji,2008,415.0
Fiji,2009,909.0
Fiji,2010,nan
Finland,2000,1073.0
Finland,2001,1029.0
Finland,2002,1525.0
Finland,2003,4321.0
Finland,2004,7982.0
Finland,2005,9528.0
Finland,2006,11572.0
Finland,2007,9550.0
Finland,2008,8436.0
Finland,2009,8449.0
Finland,2010,7860.0
France,2000,12283.0
France,2001,13224.0
France,2002,14959.0
France,2003,13443.0
France,2004,17011.0
France,2005,25559.0
France,2006,28732.0
France,2007,28407.0
France,2008,31493.0
France,2009,29542.0
France,2010,30743.0
French Guiana,2000,nan
French Guiana,2001,nan
French Guiana,2002,nan
French Guiana,2003,nan
French Guiana,2004,nan
French Guiana,2005,nan
French Guiana,2006,nan
French Guiana,2007,nan
French Guiana,2008,nan
French Guiana,2009,nan
French Guiana,2010,nan
French Polynesia,2000,nan
French Polynesia,2001,nan
French Polynesia,2002,nan
French Polynesia,2003,nan
French Polynesia,2004,nan
French Polynesia,2005,nan
French Polynesia,2006,nan
French Polynesia,2007,nan
French Polynesia,2008,nan
French Polynesia,2009,nan
French Polynesia,2010,nan
Gabon,2000,nan
Gabon,2001,nan
Gabon,2002,nan
Gabon,2003,nan
Gabon,2004,nan
Gabon,2005,nan
Gabon,2006,nan
Gabon,2007,nan
Gabon,2008,nan
Gabon,2009,nan
Gabon,2010,nan
Gambia,2000,66308.0
Gambia,2001,65521.0
Gambia,2002,71161.0
Gambia,2003,65001.0
Gambia,2004,66097.0
Gambia,2005,73911.0
Gambia,2006,65014.0
Gambia,2007,66809.0
Gambia,2008,78527.0
Gambia,2009,70985.0
Gambia,2010,85097.0
Georgia,2000,nan
Georgia,2001,nan
Georgia,2002,nan
Georgia,2003,nan
Georgia,2004,37834.0
Georgia,2005,33994.0
Georgia,2006,17559.0
Georgia,2007,14081.0
Georgia,2008,99.0
Georgia,2009,0.0
Georgia,2010,nan
Germany,2000,3679.0
Germany,2001,3306.0
Germany,2002,353.0
Germany,2003,5472.0
Germany,2004,3703.0
Germany,2005,5760.0
Germany,2006,9736.0
Germany,2007,3705.0
Germany,2008,8913.0
Germany,2009,9530.0
Germany,2010,7184.0
Ghana,2000,1052251.0
Ghana,2001,1231479.0
Ghana,2002,1174112.0
Ghana,2003,1114441.0
Ghana,2004,1271973.0
Ghana,2005,1057760.0
Ghana,2006,1077825.0
Ghana,2007,908297.0
Ghana,2008,730811.0
Ghana,2009,791049.0
Ghana,2010,nan
Gibraltar,2000,nan
Gibraltar,2001,nan
Gibraltar,2002,nan
Gibraltar,2003,nan
Gibraltar,2004,nan
Gibraltar,2005,nan
Gibraltar,2006,nan
Gibraltar,2007,nan
Gibraltar,2008,nan
Gibraltar,2009,nan
Gibraltar,2010,nan
Greece,2000,15134.0
Greece,2001,20267.0
Greece,2002,10270.0
Greece,2003,3127.0
Greece,2004,2555.0
Greece,2005,5038.0
Greece,2006,7963.0
Greece,2007,9588.0
Greece,2008,nan
Greece,2009,nan
Greece,2010,6088.0
Greenland,2000,nan
Greenland,2001,nan
Greenland,2002,nan
Greenland,2003,nan
Greenland,2004,nan
Greenland,2005,nan
Greenland,2006,nan
Greenland,2007,nan
Greenland,2008,nan
Greenland,2009,nan
Greenland,2010,nan
Grenada,2000,2981.0
Grenada,2001,1567.0
Grenada,2002,nan
Grenada,2003,180.0
Grenada,2004,215.0
Grenada,2005,nan
Grenada,2006,nan
Grenada,2007,928.0
Grenada,2008,577.0
Grenada,2009,345.0
Grenada,2010,462.0
Guadeloupe,2000,nan
Guadeloupe,2001,nan
Guadeloupe,2002,nan
Guadeloupe,2003,nan
Guadeloupe,2004,nan
Guadeloupe,2005,nan
Guadeloupe,2006,nan
Guadeloupe,2007,nan
Guadeloupe,2008,nan
Guadeloupe,2009,nan
Guadeloupe,2010,nan
Guam,2000,nan
Guam,2001,nan
Guam,2002,nan
Guam,2003,nan
Guam,2004,nan
Guam,2005,nan
Guam,2006,nan
Guam,2007,nan
Guam,2008,nan
Guam,2009,nan
Guam,2010,nan
Guatemala,2000,244915.0
Guatemala,2001,267177.0
Guatemala,2002,209260.0
Guatemala,2003,169252.0
Guatemala,2004,127489.0
Guatemala,2005,101476.0
Guatemala,2006,75096.0
Guatemala,2007,59256.0
Guatemala,2008,69744.0
Guatemala,2009,31697.0
Guatemala,2010,45144.0
Guernsey,2000,nan
Guernsey,2001,nan
Guernsey,2002,nan
Guernsey,2003,nan
Guernsey,2004,nan
Guernsey,2005,nan
Guernsey,2006,nan
Guernsey,2007,nan
Guernsey,2008,nan
Guernsey,2009,nan
Guernsey,2010,nan
Guinea,2000,703816.0
Guinea,2001,660232.0
Guinea,2002,561012.0
Guinea,2003,513856.0
Guinea,2004,470758.0
Guinea,2005,440459.0
Guinea,2006,404313.0
Guinea,2007,372376.0
Guinea,2008,387465.0
Guinea,2009,365285.0
Guinea,2010,354858.0
Guinea-Bissau,2000,93057.0
Guinea-Bissau,2001,nan
Guinea-Bissau,2002,nan
Guinea-Bissau,2003,nan
Guinea-Bissau,2004,nan
Guinea-Bissau,2005,nan
Guinea-Bissau,2006,nan
Guinea-Bissau,2007,nan
Guinea-Bissau,2008,nan
Guinea-Bissau,2009,nan
Guinea-Bissau,2010,56640.0
Guyana,2000,nan
Guyana,2001,nan
Guyana,2002,nan
Guyana,2003,1910.0
Guyana,2004,nan
Guyana,2005,nan
Guyana,2006,nan
Guyana,2007,nan
Guyana,2008,13675.0
Guyana,2009,21733.0
Guyana,2010,18637.0
Haiti,2000,nan
Haiti,2001,nan
Haiti,2002,nan
Haiti,2003,nan
Haiti,2004,nan
Haiti,2005,nan
Haiti,2006,nan
Haiti,2007,nan
Haiti,2008,nan
Haiti,2009,nan
Haiti,2010,nan
